Agency Name,City,Address Line 1,MATCH_BY_CITY,MATCH_BY_ADDRESS,MATCH_BY_NAME_ONLY
1 VISION AVIATION PLLC,SIOUX CITY,2500 KEOKUK AVE,NO,,
1 VISION GENERAL AVIATION LLC,SIOUX CITY,2500 KEOKUK AVENUE,NO,,
2EXCEL ENGINEERING LIMITED,LASHAM,LASHAM AIRFIELD,NO,,
3 D TECH INC,BERLIN,"600 FOUR ROD ROAD, BUILDING 1",NO,,
3M COMPANY,ST. PAUL,690 BAYFIELD STREET,NO,,
3S SUPPORT INC,ORLANDO,6470 NARCOOSSEE ROAD,NO,,
5 STAR AVIATION AG,KLOTEN,"5-STAR AVIATION AG, GENERAL AVIATIO",NO,,
5B AVIATION LLC,DUNCAN,2700 S 13TH ST.,YES,,
7 GENERATIONS AEROSPACE,HIALEAH GARDENS,10870 NW 138TH STREET BAY 2,NO,,
10 TANKER AIR CARRIER LLC,ALBUQUERQUE,2503 CLARK CARR LOOP SE,NO,,
21 AERO LIMITED,WARRINGTON,UNIT H1TAYLOR BUSINESS PARK,NO,,
25 REPAIR CENTRE LIMITED,TANGMERE,CHICHESTER BUSINESS PARK,NO,,
25+ REPAIR CENTER INC,SUNRISE,14251 NW 4TH ST,NO,,
360 AEROSPACE LLC,MIAMI,3011 NW 75TH. AVENUE,NO,,
630 AEROSPACE INC,MIAMI LAKES,13930 NW 60TH. AVENUE,NO,,
630 AEROSPACE LDA,VILA FRANCA DE XIRA,RUA REAL FABRICA DE ATANADOS NO  6,NO,,
702 HELICOPTER LLC,NORTH LAS VEGAS,2634 AIRPORT DRIVE,NO,,
5280 AVIATION SALES LLC,GOODYEAR,"1685 S, LITCHFIELD ROAD",NO,,
A & S HELICOPTERS INC,CAHOKIA HEIGHTS,3300 VECTOR DRIVE,NO,,
A AND R AVIATION SERVICES INC,TUMWATER,7915 OLD HIGHWAY 99 SE,NO,,
A GOLDEN REPAIR,CLINTON,674 HAUL ROAD,NO,,
A H ELECTRONICS LTD,OKLAHOMA CITY,5600 AIR CARGO RD,NO,,
A PLUS AVIONICS CORP,VAN NUYS,7240 HAYVENHURST AVENUE,YES,,
A PROFESSIONAL AVIATION SERVICES CORP,MIAMI,6270 NW 37TH. AVENUE,NO,,
